gk_positioning,gk_diving,gk_handling,gk_kicking,gk_reflexes,Cluster
14,11,10,6,6,Cluster 0
9,10,11,7,12,Cluster 3
70,68,66,73,68,Cluster 1
6,7,8,10,14,Cluster 3
6,12,6,14,12,Cluster 0
14,6,10,9,14,Cluster 3
12,14,9,13,10,Cluster 0
8,9,6,14,8,Cluster 3
77,74,72,76,77,Cluster 1
5,14,12,12,6,Cluster 0
13,14,6,6,8,Cluster 0
8,11,14,8,8,Cluster 0
14,8,8,7,6,Cluster 3
10,7,7,14,13,Cluster 3
71,66,72,67,77,Cluster 1
10,9,16,6,9,Cluster 3
13,8,14,14,12,Cluster 3
7,9,8,16,15,Cluster 3
12,14,15,7,6,Cluster 0
13,13,12,10,9,Cluster 0
13,6,6,10,8,Cluster 3
11,12,9,6,8,Cluster 0
10,11,8,6,12,Cluster 0
15,13,7,9,11,Cluster 0
11,15,14,15,13,Cluster 0
60,67,64,61,67,Cluster 2
6,12,10,8,8,Cluster 0
10,10,14,15,11,Cluster 0
8,7,13,5,8,Cluster 3
14,12,12,12,12,Cluster 0
11,13,10,7,13,Cluster 0
12,11,8,10,11,Cluster 0
43,58,53,55,55,Cluster 2
11,6,11,10,15,Cluster 3
15,9,12,6,13,Cluster 3
10,14,6,11,5,Cluster 0
9,7,9,9,13,Cluster 3
15,13,9,15,15,Cluster 0
13,14,10,12,13,Cluster 0
7,8,15,14,10,Cluster 3
14,13,6,12,6,Cluster 0
10,6,11,9,5,Cluster 3
12,13,10,14,9,Cluster 0
11,13,10,16,10,Cluster 0
7,9,6,9,9,Cluster 3
6,15,10,11,9,Cluster 0
9,14,11,10,8,Cluster 0
8,8,6,7,7,Cluster 3
12,8,7,13,10,Cluster 3
12,14,14,7,15,Cluster 0
5,10,12,5,13,Cluster 3
8,12,14,10,6,Cluster 0
14,5,8,7,14,Cluster 3
60,59,60,63,64,Cluster 2
13,15,10,9,11,Cluster 0
9,7,8,8,11,Cluster 3
11,15,14,13,6,Cluster 0
13,13,14,9,14,Cluster 0
12,13,12,13,9,Cluster 0
6,6,6,8,9,Cluster 3
11,11,7,15,10,Cluster 0
15,7,10,6,9,Cluster 3
10,12,12,10,8,Cluster 0
10,13,6,6,12,Cluster 0
8,6,11,7,14,Cluster 3
9,7,14,12,13,Cluster 3
62,59,58,54,63,Cluster 2
7,12,11,12,11,Cluster 0
10,14,5,8,7,Cluster 0
14,9,6,11,9,Cluster 3
9,9,6,8,8,Cluster 3
13,9,7,11,7,Cluster 3
7,11,14,7,12,Cluster 0
12,15,6,11,9,Cluster 0
8,6,14,5,11,Cluster 3
62,66,60,60,66,Cluster 2
57,61,57,61,60,Cluster 2
7,11,10,8,7,Cluster 0
56,62,61,59,59,Cluster 2
48,60,57,58,64,Cluster 2
10,11,14,7,7,Cluster 0
6,7,15,7,9,Cluster 3
12,13,13,11,10,Cluster 0
15,15,12,13,5,Cluster 0
8,5,13,10,10,Cluster 3
10,14,10,10,7,Cluster 0
58,55,60,58,57,Cluster 2
10,10,8,7,12,Cluster 3
7,14,5,10,14,Cluster 0
13,14,8,7,14,Cluster 0
77,74,74,76,80,Cluster 1
12,16,11,13,16,Cluster 0
11,9,11,11,14,Cluster 3
9,15,14,15,11,Cluster 0
15,6,8,7,8,Cluster 3
6,7,13,11,7,Cluster 3
11,14,10,14,11,Cluster 0
11,13,11,10,8,Cluster 0
7,10,10,15,14,Cluster 0
12,9,11,10,10,Cluster 3
14,10,8,10,8,Cluster 3
15,8,13,12,7,Cluster 3
7,15,9,13,12,Cluster 0
71,70,68,72,72,Cluster 1
15,12,5,10,14,Cluster 0
10,9,9,14,12,Cluster 3
8,13,10,14,11,Cluster 0
10,13,12,6,15,Cluster 0
9,12,15,12,10,Cluster 0
7,11,9,8,9,Cluster 0
7,14,10,9,10,Cluster 0
12,5,12,8,14,Cluster 3
10,15,8,15,11,Cluster 0
9,9,11,11,6,Cluster 3
10,13,13,8,10,Cluster 0
74,72,70,69,74,Cluster 1
13,9,14,10,11,Cluster 3
62,64,60,59,66,Cluster 2
14,12,5,5,7,Cluster 0
51,49,58,46,58,Cluster 2
10,10,11,10,14,Cluster 3
8,13,8,10,8,Cluster 0
12,14,13,10,14,Cluster 0
6,13,15,8,14,Cluster 0
6,11,6,7,13,Cluster 0
7,7,7,14,7,Cluster 3
13,10,9,5,8,Cluster 3
12,10,5,10,8,Cluster 3
6,8,7,8,13,Cluster 3
15,8,11,6,15,Cluster 3
15,11,8,8,7,Cluster 0
14,5,9,12,8,Cluster 3
7,6,13,8,14,Cluster 3
8,8,15,12,6,Cluster 3
7,13,10,12,14,Cluster 0
11,10,12,12,12,Cluster 0
12,8,9,5,10,Cluster 3
70,70,67,68,74,Cluster 1
5,11,14,6,12,Cluster 0
14,5,9,8,12,Cluster 3
15,7,7,7,9,Cluster 3
58,62,60,58,60,Cluster 2
5,10,10,6,7,Cluster 3
9,7,8,13,13,Cluster 3
7,10,14,14,9,Cluster 3
13,13,5,12,15,Cluster 0
15,10,9,9,9,Cluster 3
14,13,13,9,9,Cluster 0
11,14,10,6,12,Cluster 0
12,11,11,8,11,Cluster 0
14,6,14,7,5,Cluster 3
6,6,8,6,9,Cluster 3
12,13,14,7,16,Cluster 0
15,12,11,6,6,Cluster 0
8,6,9,11,11,Cluster 3
10,14,6,12,10,Cluster 0
13,6,11,11,10,Cluster 3
7,11,14,10,8,Cluster 0
5,8,10,9,8,Cluster 3
11,9,8,7,8,Cluster 3
57,64,59,58,62,Cluster 2
71,68,67,61,67,Cluster 1
13,16,9,13,13,Cluster 0
59,58,56,52,60,Cluster 2
7,13,10,9,12,Cluster 0
12,8,9,12,14,Cluster 3
54,58,52,57,60,Cluster 2
8,13,15,11,9,Cluster 0
11,7,8,11,10,Cluster 3
14,12,7,9,5,Cluster 0
10,15,16,12,7,Cluster 0
6,13,7,6,7,Cluster 0
14,7,6,13,15,Cluster 3
7,6,16,11,10,Cluster 3
12,9,6,13,7,Cluster 3
8,8,14,13,13,Cluster 3
10,10,12,6,10,Cluster 3
13,11,8,13,8,Cluster 0
14,11,8,10,11,Cluster 0
16,9,11,6,13,Cluster 3
14,9,14,14,13,Cluster 3
7,6,10,14,13,Cluster 3
57,56,55,62,58,Cluster 2
52,54,54,55,53,Cluster 2
14,14,13,12,15,Cluster 0
9,13,12,7,15,Cluster 0
14,14,15,13,12,Cluster 0
6,14,14,14,9,Cluster 0
61,45,61,53,68,Cluster 2
11,13,6,8,8,Cluster 0
15,10,16,9,7,Cluster 0
12,12,11,8,11,Cluster 0
7,10,11,14,11,Cluster 3
9,8,13,13,14,Cluster 3
6,10,9,7,10,Cluster 3
9,5,10,6,15,Cluster 3
6,12,6,11,16,Cluster 0
11,10,9,7,9,Cluster 3
9,12,9,14,6,Cluster 0
6,12,5,5,8,Cluster 0
15,9,15,16,15,Cluster 0
11,13,7,14,7,Cluster 0
13,11,9,7,11,Cluster 0
13,9,9,11,9,Cluster 3
9,14,9,12,15,Cluster 0
11,8,12,9,13,Cluster 3
15,7,11,11,15,Cluster 3
56,64,55,59,62,Cluster 2
14,10,14,8,11,Cluster 0
7,7,12,15,9,Cluster 3
55,62,57,56,63,Cluster 2
14,12,14,9,12,Cluster 0
8,10,8,14,6,Cluster 3
9,15,11,12,9,Cluster 0
15,6,10,8,6,Cluster 3
15,9,8,8,12,Cluster 3
51,60,62,51,61,Cluster 2
10,15,6,12,7,Cluster 0
14,5,7,14,10,Cluster 3
13,14,12,15,9,Cluster 0
7,8,6,15,7,Cluster 3
10,7,10,10,14,Cluster 3
5,15,12,11,5,Cluster 0
6,12,11,11,7,Cluster 0
15,11,12,6,13,Cluster 0
5,14,7,7,12,Cluster 0
12,9,10,12,11,Cluster 3
6,8,11,9,12,Cluster 3
7,8,9,12,10,Cluster 3
58,56,60,54,61,Cluster 2
68,69,67,59,70,Cluster 1
12,13,12,10,10,Cluster 0
6,9,11,10,10,Cluster 3
8,14,8,9,7,Cluster 0
58,60,57,56,62,Cluster 2
9,7,7,13,13,Cluster 3
6,11,14,13,6,Cluster 0
10,10,6,13,12,Cluster 3
10,15,8,14,14,Cluster 0
7,6,14,11,13,Cluster 3
10,12,15,13,11,Cluster 0
8,8,6,9,14,Cluster 3
10,10,12,12,14,Cluster 0
15,7,13,14,11,Cluster 3
13,13,11,12,14,Cluster 0
7,9,8,8,12,Cluster 3
7,7,10,8,10,Cluster 3
12,10,12,13,15,Cluster 0
14,7,11,10,13,Cluster 3
10,13,13,13,9,Cluster 0
13,12,13,5,14,Cluster 0
7,9,9,9,6,Cluster 3
14,7,14,8,10,Cluster 3
12,16,15,8,11,Cluster 0
7,15,7,8,11,Cluster 0
8,7,14,11,9,Cluster 3
12,10,15,15,15,Cluster 0
8,13,13,13,14,Cluster 0
7,14,10,13,15,Cluster 0
12,14,14,13,10,Cluster 0
13,15,9,7,9,Cluster 0
15,14,6,9,8,Cluster 0
15,15,6,7,13,Cluster 0
9,16,7,12,9,Cluster 0
7,6,6,6,12,Cluster 3
7,11,12,15,14,Cluster 0
12,7,12,11,12,Cluster 3
9,14,9,7,15,Cluster 0
6,9,12,9,5,Cluster 3
9,14,14,10,13,Cluster 0
13,14,11,13,5,Cluster 0
16,13,10,10,11,Cluster 0
61,64,62,57,64,Cluster 2
68,74,72,75,70,Cluster 1
14,15,13,7,12,Cluster 0
7,8,13,15,10,Cluster 3
69,71,69,62,77,Cluster 1
12,10,12,9,9,Cluster 3
11,9,9,11,10,Cluster 3
12,9,10,6,8,Cluster 3
10,6,6,6,7,Cluster 3
9,9,9,7,11,Cluster 3
12,8,6,13,11,Cluster 3
14,15,7,11,16,Cluster 0
13,13,15,10,10,Cluster 0
13,14,15,13,10,Cluster 0
5,6,13,13,13,Cluster 3
16,11,16,10,14,Cluster 0
12,10,13,14,13,Cluster 0
13,14,11,14,8,Cluster 0
9,12,14,7,10,Cluster 0
11,14,14,14,7,Cluster 0
7,12,12,7,8,Cluster 0
15,7,10,10,8,Cluster 3
9,15,16,7,12,Cluster 0
8,14,6,12,8,Cluster 0
10,8,11,15,11,Cluster 3
8,15,14,8,14,Cluster 0
9,9,12,8,12,Cluster 3
15,5,14,8,9,Cluster 3
5,14,8,12,8,Cluster 0
10,7,15,8,6,Cluster 3
15,9,7,5,7,Cluster 3
9,10,11,14,10,Cluster 3
12,14,10,8,8,Cluster 0
12,8,9,14,10,Cluster 3
9,6,9,10,13,Cluster 3
6,10,9,7,11,Cluster 3
11,15,10,11,13,Cluster 0
14,13,9,14,8,Cluster 0
12,14,8,11,10,Cluster 0
11,10,8,14,15,Cluster 0
12,12,10,15,6,Cluster 0
14,14,11,6,16,Cluster 0
12,8,8,8,14,Cluster 3
62,63,62,64,65,Cluster 2
12,7,9,8,12,Cluster 3
9,13,6,6,6,Cluster 0
8,6,10,9,6,Cluster 3
9,14,11,10,6,Cluster 0
7,10,9,13,8,Cluster 3
12,11,9,7,8,Cluster 0
51,61,57,52,56,Cluster 2
15,12,11,15,9,Cluster 0
7,11,11,10,12,Cluster 0
5,12,13,8,10,Cluster 0
8,8,15,12,11,Cluster 3
8,11,12,7,8,Cluster 0
66,72,66,65,72,Cluster 1
13,6,14,8,10,Cluster 3
9,11,10,14,12,Cluster 0
6,8,12,7,8,Cluster 3
13,10,8,9,7,Cluster 3
8,9,13,7,12,Cluster 3
6,7,12,8,11,Cluster 3
69,72,66,64,72,Cluster 1
13,10,9,12,6,Cluster 3
8,11,6,9,7,Cluster 3
7,8,12,7,14,Cluster 3
11,14,13,6,14,Cluster 0
5,14,8,9,15,Cluster 0
9,14,11,12,12,Cluster 0
7,6,9,7,13,Cluster 3
9,14,8,12,8,Cluster 0
6,14,8,7,11,Cluster 0
15,7,15,8,14,Cluster 3
10,7,11,10,15,Cluster 3
10,8,14,13,7,Cluster 3
10,6,6,10,10,Cluster 3
14,7,6,12,11,Cluster 3
13,15,12,15,6,Cluster 0
13,6,13,15,14,Cluster 3
14,13,6,12,5,Cluster 0
10,7,14,10,9,Cluster 3
10,9,7,10,5,Cluster 3
7,11,8,10,14,Cluster 0
10,7,9,13,15,Cluster 3
8,6,13,12,7,Cluster 3
13,11,8,15,9,Cluster 0
15,13,13,10,13,Cluster 0
59,63,59,61,61,Cluster 2
9,9,13,10,9,Cluster 3
10,8,7,12,9,Cluster 3
13,8,7,6,5,Cluster 3
12,19,11,11,12,Cluster 0
14,6,5,12,13,Cluster 3
8,14,14,8,12,Cluster 0
12,12,12,9,7,Cluster 0
15,8,12,10,5,Cluster 3
12,13,12,15,11,Cluster 0
13,7,8,7,6,Cluster 3
66,70,64,60,70,Cluster 1
9,7,6,15,14,Cluster 3
14,15,11,6,8,Cluster 0
12,7,14,16,6,Cluster 3
8,15,8,11,13,Cluster 0
12,11,8,9,12,Cluster 0
10,8,9,8,7,Cluster 3
14,7,5,11,9,Cluster 3
15,15,8,11,14,Cluster 0
12,14,13,12,11,Cluster 0
7,6,13,8,5,Cluster 3
15,14,13,7,8,Cluster 0
14,8,6,15,9,Cluster 3
15,12,9,11,12,Cluster 0
9,15,8,10,6,Cluster 0
6,5,14,6,9,Cluster 3
8,14,13,15,13,Cluster 0
14,12,7,14,11,Cluster 0
8,11,13,14,11,Cluster 0
13,12,7,15,15,Cluster 0
6,12,12,6,13,Cluster 0
66,78,69,68,79,Cluster 1
9,15,5,10,9,Cluster 0
15,7,7,7,13,Cluster 3
14,13,6,6,7,Cluster 0
12,11,12,12,8,Cluster 0
10,8,8,9,12,Cluster 3
13,7,15,5,10,Cluster 3
11,15,14,14,15,Cluster 0
12,13,8,10,12,Cluster 0
15,9,15,10,8,Cluster 3
8,13,12,9,10,Cluster 0
64,67,62,61,65,Cluster 2
12,11,10,7,11,Cluster 0
13,13,13,14,9,Cluster 0
14,8,7,9,14,Cluster 3
12,13,7,5,8,Cluster 0
10,6,11,11,5,Cluster 3
64,68,63,66,67,Cluster 1
9,7,9,10,10,Cluster 3
7,8,15,11,15,Cluster 3
49,52,48,52,50,Cluster 2
7,7,6,15,14,Cluster 3
59,67,66,57,65,Cluster 2
67,65,63,65,66,Cluster 1
12,11,6,11,9,Cluster 0
8,8,11,11,14,Cluster 3
13,11,14,13,7,Cluster 0
6,14,7,11,12,Cluster 0
14,7,5,13,5,Cluster 3
9,10,16,11,15,Cluster 0
15,12,13,6,11,Cluster 0
5,14,7,13,14,Cluster 0
13,12,15,7,6,Cluster 0
13,8,15,13,14,Cluster 3
7,7,14,11,14,Cluster 3
5,6,8,8,9,Cluster 3
13,11,14,7,6,Cluster 0
9,8,13,11,14,Cluster 3
13,10,10,5,10,Cluster 3
10,13,12,10,7,Cluster 0
73,73,73,70,76,Cluster 1
6,14,9,8,12,Cluster 0
10,6,6,11,11,Cluster 3
70,72,71,74,76,Cluster 1
12,7,8,11,13,Cluster 3
14,14,15,14,14,Cluster 0
10,7,8,12,8,Cluster 3
9,14,9,9,14,Cluster 0
9,9,15,8,8,Cluster 3
7,8,14,9,7,Cluster 3
6,6,6,13,13,Cluster 3
7,6,12,10,9,Cluster 3
9,12,14,9,14,Cluster 0
14,12,6,9,11,Cluster 0
6,14,8,10,13,Cluster 0
13,9,6,16,9,Cluster 3
9,14,6,12,7,Cluster 0
12,8,8,10,12,Cluster 3
9,12,8,6,10,Cluster 0
10,8,8,8,5,Cluster 3
7,9,13,11,14,Cluster 3
11,6,13,15,11,Cluster 3
7,13,10,10,11,Cluster 0
8,15,7,12,13,Cluster 0
13,11,10,10,9,Cluster 0
15,9,15,15,6,Cluster 3
9,14,8,11,5,Cluster 0
6,12,14,7,10,Cluster 0
8,8,15,6,7,Cluster 3
10,12,15,16,12,Cluster 0
6,7,10,12,12,Cluster 3
7,15,10,10,11,Cluster 0
6,12,8,12,12,Cluster 0
10,10,14,12,13,Cluster 0
10,8,6,15,12,Cluster 3
6,10,12,11,13,Cluster 3
7,12,11,5,8,Cluster 0
7,8,13,15,9,Cluster 3
5,7,7,10,14,Cluster 3
15,9,16,8,15,Cluster 3
12,8,11,5,6,Cluster 3
68,67,68,67,67,Cluster 1
10,11,5,9,5,Cluster 3
12,10,11,12,15,Cluster 0
13,14,10,14,7,Cluster 0
6,10,15,6,9,Cluster 3
9,10,7,6,8,Cluster 3
11,12,10,13,7,Cluster 0
14,13,13,11,6,Cluster 0
9,7,15,10,5,Cluster 3
8,12,10,12,12,Cluster 0
8,12,8,13,7,Cluster 0
9,8,14,13,6,Cluster 3
15,10,14,9,9,Cluster 0
9,7,11,10,11,Cluster 3
15,11,13,10,15,Cluster 0
13,14,8,10,11,Cluster 0
14,12,13,9,9,Cluster 0
9,9,8,13,13,Cluster 3
73,76,74,71,76,Cluster 1
9,15,5,12,14,Cluster 0
8,13,13,13,9,Cluster 0
14,13,6,10,12,Cluster 0
10,10,6,13,10,Cluster 3
7,10,13,14,12,Cluster 0
14,14,13,12,9,Cluster 0
73,75,75,74,74,Cluster 1
13,9,9,7,8,Cluster 3
11,8,13,8,9,Cluster 3
13,5,12,6,14,Cluster 3
10,13,12,13,8,Cluster 0
15,8,8,10,6,Cluster 3
15,9,11,12,13,Cluster 3
68,71,67,70,72,Cluster 1
5,11,12,10,12,Cluster 0
8,13,14,11,14,Cluster 0
13,12,15,8,5,Cluster 0
15,14,16,13,16,Cluster 0
8,12,6,10,14,Cluster 0
14,13,11,8,10,Cluster 0
5,15,12,9,15,Cluster 0
8,11,9,6,7,Cluster 3
15,14,11,6,8,Cluster 0
11,16,15,10,8,Cluster 0
6,15,10,15,10,Cluster 0
7,9,15,7,8,Cluster 3
6,8,11,9,9,Cluster 3
9,8,14,11,5,Cluster 3
8,7,6,16,14,Cluster 3
8,11,7,10,14,Cluster 0
12,10,11,16,15,Cluster 0
9,11,8,12,15,Cluster 0
12,7,11,6,7,Cluster 3
14,12,7,5,9,Cluster 0
69,69,69,68,71,Cluster 1
11,11,7,10,5,Cluster 0
10,13,12,13,13,Cluster 0
11,15,14,13,10,Cluster 0
12,12,7,10,12,Cluster 0
8,5,14,5,6,Cluster 3
14,6,8,10,11,Cluster 3
15,13,8,9,9,Cluster 0
10,9,7,7,15,Cluster 3
65,66,65,66,66,Cluster 1
8,12,15,13,9,Cluster 0
13,13,6,12,7,Cluster 0
7,6,7,14,8,Cluster 3
15,15,10,10,9,Cluster 0
6,10,12,7,15,Cluster 3
6,12,13,12,13,Cluster 0
12,6,11,7,6,Cluster 3
8,13,9,7,12,Cluster 0
8,10,10,15,15,Cluster 0
11,6,7,12,8,Cluster 3
7,8,13,9,15,Cluster 3
9,12,15,11,14,Cluster 0
11,15,7,13,10,Cluster 0
8,8,13,10,7,Cluster 3
9,14,15,11,6,Cluster 0
6,13,5,7,12,Cluster 0
6,8,11,9,12,Cluster 3
13,11,13,6,7,Cluster 0
15,9,10,14,7,Cluster 3
9,6,15,10,7,Cluster 3
15,11,12,13,11,Cluster 0
8,6,13,11,5,Cluster 3
12,7,6,10,7,Cluster 3
9,13,6,13,8,Cluster 0
11,6,11,8,11,Cluster 3
14,7,9,9,9,Cluster 3
10,11,10,14,13,Cluster 0
13,11,16,13,9,Cluster 0
14,11,12,8,7,Cluster 0
15,5,10,9,9,Cluster 3
13,6,15,7,15,Cluster 3
11,10,15,11,7,Cluster 3
10,14,10,14,8,Cluster 0
12,13,13,10,13,Cluster 0
11,12,12,11,15,Cluster 0
15,8,12,10,6,Cluster 3
7,15,15,6,14,Cluster 0
75,75,75,77,76,Cluster 1
12,9,12,9,9,Cluster 3
5,15,9,10,10,Cluster 0
59,63,58,54,64,Cluster 2
13,8,12,14,9,Cluster 3
8,11,10,9,9,Cluster 0
13,6,12,11,8,Cluster 3
8,8,15,15,13,Cluster 3
13,8,7,6,8,Cluster 3
9,14,5,13,6,Cluster 0
15,8,14,10,12,Cluster 3
51,53,50,49,53,Cluster 2
74,79,69,53,78,Cluster 1
11,8,9,11,10,Cluster 3
11,7,13,12,14,Cluster 3
15,8,6,9,7,Cluster 3
10,11,13,13,14,Cluster 0
5,12,6,11,11,Cluster 0
9,8,12,6,6,Cluster 3
10,13,9,10,11,Cluster 0
14,9,7,8,10,Cluster 3
72,74,66,68,74,Cluster 1
13,10,6,14,10,Cluster 3
8,13,10,13,11,Cluster 0
11,12,8,10,13,Cluster 0
10,11,8,11,8,Cluster 0
8,9,13,10,14,Cluster 3
13,5,14,13,13,Cluster 3
15,10,14,7,12,Cluster 0
8,10,14,14,8,Cluster 3
9,15,8,14,6,Cluster 0
11,16,10,13,14,Cluster 0
13,14,12,9,7,Cluster 0
53,57,56,54,58,Cluster 2
8,11,11,12,14,Cluster 0
8,9,5,6,13,Cluster 3
62,61,62,66,62,Cluster 2
14,13,15,8,13,Cluster 0
77,76,74,70,79,Cluster 1
12,8,13,11,14,Cluster 3
9,15,7,7,10,Cluster 0
10,12,7,15,5,Cluster 0
11,9,15,15,12,Cluster 3
7,6,11,14,10,Cluster 3
46,51,50,56,54,Cluster 2
9,10,8,7,7,Cluster 3
7,11,7,11,10,Cluster 0
7,8,9,11,11,Cluster 3
9,10,7,11,10,Cluster 3
15,13,12,7,11,Cluster 0
10,14,12,7,12,Cluster 0
13,6,11,11,13,Cluster 3
14,5,8,15,11,Cluster 3
15,9,7,12,13,Cluster 3
60,67,59,57,65,Cluster 2
9,9,6,9,11,Cluster 3
14,8,7,7,14,Cluster 3
73,77,73,67,75,Cluster 1
12,8,8,14,14,Cluster 3
13,14,6,5,13,Cluster 0
71,72,73,72,73,Cluster 1
8,7,14,6,8,Cluster 3
10,12,6,15,9,Cluster 0
11,6,8,6,14,Cluster 3
7,8,7,7,10,Cluster 3
15,10,15,13,8,Cluster 0
13,9,5,10,14,Cluster 3
14,9,10,8,13,Cluster 3
14,9,13,10,6,Cluster 3
10,7,11,11,6,Cluster 3
9,13,9,7,12,Cluster 0
14,8,7,6,7,Cluster 3
60,63,60,60,62,Cluster 2
11,14,11,10,11,Cluster 0
15,7,14,9,5,Cluster 3
15,10,14,8,16,Cluster 0
14,12,8,9,13,Cluster 0
48,57,46,49,59,Cluster 2
14,7,9,6,11,Cluster 3
11,8,15,5,12,Cluster 3
14,11,10,12,9,Cluster 0
11,11,12,6,14,Cluster 0
9,14,13,11,7,Cluster 0
61,64,61,62,63,Cluster 2
56,59,56,55,63,Cluster 2
7,10,9,6,10,Cluster 3
6,12,14,8,12,Cluster 0
13,5,8,8,10,Cluster 3
5,5,3,5,3,Cluster 3
14,14,12,5,7,Cluster 0
8,13,10,9,16,Cluster 0
12,6,12,8,13,Cluster 3
12,11,6,13,6,Cluster 0
14,8,12,11,14,Cluster 3
14,12,12,13,8,Cluster 0
6,13,9,13,12,Cluster 0
7,13,14,10,12,Cluster 0
12,11,14,9,11,Cluster 0
13,15,13,11,6,Cluster 0
8,6,7,14,9,Cluster 3
14,15,15,10,14,Cluster 0
8,7,14,6,9,Cluster 3
6,11,10,10,13,Cluster 0
10,9,9,11,5,Cluster 3
5,8,10,6,15,Cluster 3
11,9,14,8,9,Cluster 3
12,9,14,13,7,Cluster 3
12,7,8,11,9,Cluster 3
11,12,13,10,13,Cluster 0
15,7,15,6,8,Cluster 3
58,64,59,49,63,Cluster 2
14,16,14,10,11,Cluster 0
9,7,5,15,10,Cluster 3
12,8,9,15,16,Cluster 3
15,10,14,12,12,Cluster 0
9,9,15,7,5,Cluster 3
13,8,8,14,9,Cluster 3
9,13,8,8,7,Cluster 0
8,10,6,11,11,Cluster 3
11,6,9,8,13,Cluster 3
7,15,5,8,6,Cluster 0
11,8,13,13,5,Cluster 3
51,51,50,49,53,Cluster 2
8,12,8,8,7,Cluster 0
64,66,63,63,65,Cluster 1
74,76,72,71,76,Cluster 1
55,60,61,52,64,Cluster 2
15,15,6,15,7,Cluster 0
9,13,10,12,15,Cluster 0
7,14,11,6,8,Cluster 0
12,7,12,13,7,Cluster 3
9,13,13,12,13,Cluster 0
14,8,7,16,16,Cluster 3
69,70,69,68,69,Cluster 1
15,8,14,10,15,Cluster 3
12,13,10,9,9,Cluster 0
11,8,9,16,7,Cluster 3
7,8,8,15,10,Cluster 3
65,66,67,59,68,Cluster 1
16,9,7,6,13,Cluster 3
14,8,10,8,13,Cluster 3
10,8,14,7,11,Cluster 3
6,10,8,11,20,Cluster 3
9,11,13,9,7,Cluster 0
11,12,8,6,12,Cluster 0
11,12,7,11,13,Cluster 0
12,9,7,11,11,Cluster 3
8,9,14,12,13,Cluster 3
8,15,7,10,6,Cluster 0
9,13,11,15,10,Cluster 0
45,48,60,53,56,Cluster 2
10,14,8,14,7,Cluster 0
66,53,59,66,64,Cluster 2
11,12,5,5,12,Cluster 0
6,11,7,10,6,Cluster 3
68,69,66,69,70,Cluster 1
66,67,65,67,67,Cluster 1
64,59,62,50,57,Cluster 2
13,7,7,16,16,Cluster 3
6,6,9,10,7,Cluster 3
10,6,13,8,14,Cluster 3
16,12,13,16,8,Cluster 0
16,9,7,9,9,Cluster 3
8,15,15,18,7,Cluster 0
5,11,6,14,14,Cluster 0
14,12,5,11,13,Cluster 0
13,11,15,13,7,Cluster 0
50,54,52,55,53,Cluster 2
7,9,10,16,15,Cluster 3
62,64,61,58,68,Cluster 2
12,14,14,8,12,Cluster 0
4,4,5,4,5,Cluster 3
7,14,10,6,12,Cluster 0
8,6,12,8,8,Cluster 3
67,68,65,64,70,Cluster 1
68,61,61,68,62,Cluster 2
10,9,10,9,13,Cluster 3
8,10,12,15,6,Cluster 3
54,58,56,56,58,Cluster 2
6,13,9,8,12,Cluster 0
6,6,5,14,6,Cluster 3
14,12,9,10,12,Cluster 0
15,12,5,9,10,Cluster 0
16,8,11,10,11,Cluster 3
16,15,8,14,15,Cluster 0
6,9,13,13,10,Cluster 3
10,7,6,14,8,Cluster 3
6,11,13,7,9,Cluster 0
9,14,9,7,10,Cluster 0
8,11,12,6,8,Cluster 0
6,6,12,15,10,Cluster 3
12,11,13,12,14,Cluster 0
6,15,9,11,10,Cluster 0
7,14,7,10,12,Cluster 0
14,7,7,6,14,Cluster 3
14,8,11,12,12,Cluster 3
13,7,11,13,14,Cluster 3
54,60,51,60,58,Cluster 2
51,54,50,53,56,Cluster 2
14,8,11,13,12,Cluster 3
12,5,10,9,10,Cluster 3
12,6,5,10,12,Cluster 3
7,7,14,8,11,Cluster 3
8,11,8,11,7,Cluster 0
14,11,5,6,6,Cluster 3
8,7,12,12,7,Cluster 3
7,13,6,8,6,Cluster 0
7,12,11,9,14,Cluster 0
11,12,13,14,7,Cluster 0
7,14,14,9,7,Cluster 0
10,10,11,5,14,Cluster 3
13,7,11,6,14,Cluster 3
12,13,9,6,16,Cluster 0
65,65,65,59,69,Cluster 1
65,69,66,64,66,Cluster 1
12,11,13,5,8,Cluster 0
11,13,6,10,11,Cluster 0
9,9,8,13,8,Cluster 3
13,7,7,5,9,Cluster 3
11,14,6,9,11,Cluster 0
6,7,5,9,8,Cluster 3
12,5,7,13,5,Cluster 3
10,8,16,12,10,Cluster 3
14,13,11,6,7,Cluster 0
15,13,14,8,16,Cluster 0
6,13,13,15,12,Cluster 0
59,66,60,62,58,Cluster 2
8,10,10,7,12,Cluster 3
7,14,14,11,11,Cluster 0
70,68,69,68,72,Cluster 1
71,71,73,72,73,Cluster 1
8,11,14,11,15,Cluster 0
10,8,12,12,13,Cluster 3
12,16,6,14,6,Cluster 0
15,15,12,14,6,Cluster 0
9,13,9,14,11,Cluster 0
69,67,61,60,70,Cluster 1
52,56,56,52,60,Cluster 2
11,15,7,8,13,Cluster 0
15,9,15,10,16,Cluster 3
9,5,11,6,5,Cluster 3
12,7,6,12,15,Cluster 3
14,14,11,8,14,Cluster 0
9,12,10,13,9,Cluster 0
8,7,6,14,11,Cluster 3
7,13,13,7,10,Cluster 0
6,14,11,12,15,Cluster 0
7,9,9,11,8,Cluster 3
